protName
"(+)-alpha-pinene synthase, chloroplastic"
"(+)-bornyl diphosphate synthase, chloroplastic"
"(+)-larreatricin hydroxylase, chloroplastic"
"(+)-sabinene synthase, chloroplastic"
"(-)-alpha-pinene synthase, chloroplastic"
"(-)-alpha-terpineol synthase, chloroplastic"
"(-)-beta-pinene synthase, chloroplastic"
"(-)-camphene/tricyclene synthase, chloroplastic"
"(-)-endo-fenchol synthase, chloroplastic"
"(-)-isopiperitenol/(-)-carveol dehydrogenase, mitochondrial"
"(-)-limonene synthase, chloroplastic"
"(13E)-labda-7,13-dien-15-ol synthase"
"(2Z,6Z)-farnesyl diphosphate synthase, chloroplastic"
"(3S,6E)-nerolidol synthase 1"
"(3S,6E)-nerolidol synthase 1, chloroplastic"
"(3S,6E)-nerolidol synthase 2, chloroplastic/mitochondrial"
"(3S,6E)-nerolidol synthase"
"(DL)-glycerol-3-phosphatase 1, mitochondrial"
"(E)-beta-ocimene synthase, chloroplastic"
"(E,E)-alpha-farnesene synthase"
"(E,E)-germacrene B synthase"
"(R)-limonene synthase 1, chloroplastic"
"(R,S)-reticuline 7-O-methyltransferase"
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 1"
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2"
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 3"
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4"
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase homolog 2"
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"
"1,3-beta-glucan synthase component (DUF1218)"
"1,4-alpha-glucan-branching enzyme 1, chloroplastic/amyloplastic"
"1,4-alpha-glucan-branching enzyme 2, chloroplastic/amyloplastic"
"1,4-alpha-glucan-branching enzyme"
"1,4-alpha-glucan-branching enzyme, chloroplastic/amyloplastic"
"1,4-beta-xylan endohydrolase"
"1,4-dihydroxy-2-naphthoyl-CoA synthase, peroxisomal"
"1,4-dihydroxy-2-naphthoyl-CoA thioesterase 1"
"1,8-cineole synthase 1, chloroplastic"
"1,8-cineole synthase 2, chloroplastic"
"1,8-cineole synthase"
"1,8-cineole synthase, chloroplastic"
"1-acyl-sn-glycerol-3-phosphate acyltransferase 1, chloroplastic"
"1-deoxy-D-xylulose 5-phosphate reductoisomerase, chloroplastic"
"1-deoxy-D-xylulose-5-phosphate synthase 1, chloroplastic"
"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase epsilon-1, putative (DUF1685)"
"10 kDa chaperonin 1, chloroplastic"
"10 kDa chaperonin 2, chloroplastic"
"10 kDa chaperonin, mitochondrial"
"136 kDa hydroxyproline-rich cell wall glycoprotein, major component"
"15-cis-phytoene desaturase, chloroplastic/chromoplastic"
"15-cis-zeta-carotene isomerase, chloroplastic"
"15.7 kDa heat shock protein, peroxisomal"
"16-methoxy-2,3-dihydro-3-hydroxytabersonine synthase"
"16.0 kDa heat shock protein, peroxisomal"
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"
"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
"2,4,6-trihydroxybenzophenone synthase"
"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase, chloroplastic"
"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, chloroplastic"
"2-Cys peroxiredoxin BAS1, chloroplastic"
"2-acyl-4-prenylphloroglucinol 6-prenyltransferase, chloroplastic"
