Name	AvgTime	STD	MinTime	MaxTime	Execs	Timeouts
cnt	1041.495726	8.791281	1033.000000	1072.000000	117	0
cntType	1075.000000	12.002584	1064.000000	1138.000000	130	0
cntRel	4480.556452	20.333921	4439.000000	4551.000000	124	0
cntRelType	0.469565	0.501257	0.000000	1.000000	115	0
sel	2536.272727	247.826115	1934.000000	2968.000000	121	0
join	740.689922	8.624817	732.000000	776.000000	129	0
joinRel	9.807018	0.650081	8.000000	12.000000	114	0
joinFilter	218.046875	4.427650	216.000000	245.000000	128	1
joinRe	580.583942	2.038751	579.000000	598.000000	137	0
joinReif	10.595420	4.727625	8.000000	63.000000	131	0
varPathC	88.287037	37.108089	52.000000	177.000000	108	0
varPath	67.294643	3.748005	60.000000	88.000000	112	0
2union	117.440000	3.915231	114.000000	152.000000	125	0
2union1Nest	119.027273	5.657599	115.000000	148.000000	110	0
2union1Nest+	118.297710	3.707984	114.000000	146.000000	131	0
pway	2182.581197	13.913674	2164.000000	2216.000000	117	0
grp	830.133858	7.599459	823.000000	862.000000	127	0
grpAg	7.614754	0.537006	7.000000	9.000000	122	0
mulGrpAg	63.028037	10.070935	61.000000	166.000000	107	0
nestAg	58.682243	2.099408	57.000000	77.000000	107	0
exist	54.616071	1.224712	53.000000	62.000000	112	0
existAg	61.721739	0.743956	60.000000	66.000000	115	0
