Name	AvgTime	STD	MinTime	MaxTime	Execs	Timeouts
cnt	917.713178	8.815996	860.000000	942.000000	129	0
cntType	995.419118	24.277884	982.000000	1266.000000	136	0
cntRel	3881.508333	48.566336	3817.000000	4295.000000	120	0
cntRelType	0.495413	0.789091	0.000000	5.000000	109	0
sel	2.190476	0.677812	1.000000	7.000000	126	0
join	655.873874	7.773050	649.000000	724.000000	111	0
joinRel	3.131783	1.127635	2.000000	12.000000	129	0
joinFilter	1.141593	0.924539	0.000000	8.000000	113	0
joinRe	711.323308	78.095081	588.000000	879.000000	133	0
joinReif	12.348214	75.335013	3.000000	802.000000	112	0
varPathC	92.681416	39.223095	54.000000	176.000000	113	0
varPath	70.511628	5.661156	64.000000	120.000000	129	0
2union	26.688000	0.901755	25.000000	31.000000	125	0
2union1Nest	28.500000	14.958802	25.000000	185.000000	112	0
2union1Nest+	27.257143	1.859726	25.000000	46.000000	140	0
pway	712.776786	159.023807	688.000000	2378.000000	112	0
grp	724.880734	4.837593	718.000000	737.000000	109	0
grpAg	7.443478	2.506802	6.000000	33.000000	115	0
mulGrpAg	58.500000	11.618311	55.000000	173.000000	102	0
nestAg	56.308725	2.013130	54.000000	72.000000	149	0
exist	12.669643	0.809720	12.000000	16.000000	112	0
existAg	57.297030	8.412544	55.000000	140.000000	101	0
shrtSmf	4.052632	6.688839	3.000000	74.000000	114	0
medSmf	2094.091743	38.902666	2066.000000	2219.000000	109	0
lngSmf	0	-	-	-	-	140
