Name	AvgTime	STD	MinTime	MaxTime	Execs	Timeouts
cnt	0.260163	0.525379	0.000000	3.000000	123	0
cntType	1.388889	2.825519	0.000000	10.000000	126	0
cntRel	0.296296	0.478691	0.000000	2.000000	108	0
cntRelType	3.531532	4.688128	0.000000	12.000000	111	0
sel	28.604651	18.826314	26.000000	200.000000	86	0
join	2.907563	0.344241	2.000000	4.000000	119	0
joinRel	1.573770	0.601898	1.000000	5.000000	122	0
joinFilter	9.636364	1.211060	1.000000	18.000000	121	0
joinRe	12.193277	2.876784	2.000000	17.000000	119	0
joinReif	2.027273	0.344261	1.000000	4.000000	110	0
varPathC	45.017241	3.103946	42.000000	59.000000	116	0
varPath	36.904000	1.240603	32.000000	41.000000	125	0
2union	19.328571	0.661836	18.000000	22.000000	140	0
2union1Nest	266.190083	3.264236	259.000000	277.000000	121	0
2union1Nest+	248.413043	11.324496	239.000000	282.000000	138	0
pway	906.816794	11.951055	897.000000	946.000000	131	0
grp	87.676471	2.700061	83.000000	94.000000	102	0
grpAg	82.619403	3.289982	77.000000	97.000000	134	0
mulGrpAg	868.445455	11.115397	857.000000	899.000000	110	0
nestAg	82.462810	2.729595	77.000000	87.000000	121	0
exist	58.007519	6.858412	42.000000	75.000000	133	0
existAg	93.880000	3.125339	88.000000	101.000000	125	0
shrtSmf	2.950000	0.757121	2.000000	9.000000	100	0
medSmf	2.404762	0.671459	1.000000	5.000000	126	0
lngSmf	86.090226	62.739657	4.000000	240.000000	133	0
