Name	AvgTime	STD	MinTime	MaxTime	Execs	Timeouts
cnt	2028.803150	82.886616	1904.000000	2193.000000	127	0
cntType	3.795455	15.744011	1.000000	174.000000	132	0
cntRel	25.056911	3.219563	20.000000	35.000000	123	0
cntRelType	25.148438	39.668725	1.000000	159.000000	128	0
sel	3.038760	0.979502	2.000000	9.000000	129	0
join	6.400000	0.861357	6.000000	10.000000	125	0
joinRel	10.252101	2.030356	9.000000	29.000000	119	0
joinFilter	4.913793	1.512665	3.000000	14.000000	116	0
joinRe	6.604651	13.665318	4.000000	159.000000	129	0
joinReif	10.712963	1.260848	10.000000	20.000000	108	0
varPathC	10.000000	3.297883	5.000000	17.000000	122	0
varPath	98.305344	2.950601	96.000000	121.000000	131	0
2union	10.568966	1.439953	10.000000	23.000000	116	0
2union1Nest	10.776596	1.108659	10.000000	18.000000	94	0
2union1Nest+	11.094828	2.358992	10.000000	29.000000	116	0
pway	39.323232	1.412974	38.000000	47.000000	99	0
grp	7.201613	2.371853	6.000000	26.000000	124	0
grpAg	8.319588	0.810689	8.000000	14.000000	97	0
mulGrpAg	29.008403	1.654454	28.000000	43.000000	119	0
nestAg	15.782258	2.062284	15.000000	37.000000	124	0
exist	19.785714	1.487530	19.000000	30.000000	140	0
existAg	42.780488	1.944039	41.000000	59.000000	123	0
shrtSmf	14.679245	2.765595	13.000000	41.000000	106	0
medSmf	46.255814	6.497931	44.000000	116.000000	129	0
lngSmf	92.201613	2.482393	90.000000	107.000000	124	0
