Name	AvgTime	STD	MinTime	MaxTime	Execs	Timeouts
cnt	177.125874	15.744378	167.000000	357.000000	143	0
cntType	186.060870	5.155966	183.000000	234.000000	115	0
cntRel	554.766667	18.666347	542.000000	738.000000	120	0
cntRelType	7.760274	90.103489	0.000000	1089.000000	146	0
sel	2.814159	7.815448	1.000000	85.000000	113	0
join	17.535088	1.130274	17.000000	26.000000	114	0
joinRel	2.792593	1.072703	2.000000	9.000000	135	0
joinFilter	0.740741	1.071032	0.000000	8.000000	108	0
joinRe	27.408333	4.698464	20.000000	64.000000	120	0
joinReif	12.571429	83.101385	3.000000	911.000000	119	0
varPathC	82.208333	37.487005	53.000000	361.000000	120	0
varPath	67.917355	8.572812	60.000000	148.000000	121	0
2union	34.021277	2.824556	32.000000	61.000000	141	0
2union1Nest	35.360294	11.564744	32.000000	168.000000	136	0
2union1Nest+	34.730496	4.176258	32.000000	78.000000	141	0
pway	141.297521	28.614287	129.000000	433.000000	121	0
grp	22.762712	1.791137	21.000000	31.000000	118	0
grpAg	6.613861	1.954330	6.000000	24.000000	101	0
mulGrpAg	50.504673	5.151248	47.000000	83.000000	107	0
nestAg	51.229358	3.537191	49.000000	81.000000	109	0
exist	12.269231	16.206334	10.000000	174.000000	104	0
existAg	47.284404	2.928442	45.000000	65.000000	109	0
shrtSmf	0.409524	1.071441	0.000000	10.000000	105	0
medSmf	0.816667	1.587680	0.000000	16.000000	120	0
lngSmf	1.333333	1.224143	1.000000	12.000000	114	0
