Name	AvgTime	STD	MinTime	MaxTime	Execs	Timeouts
cnt	3.000000	0.577350	2.000000	4.000000	7	0
cntType	7.533333	10.322421	2.000000	41.000000	15	0
cntRel	2.909091	0.943880	2.000000	5.000000	11	0
cntRelType	28.800000	33.870341	3.000000	79.000000	5	0
sel	18.400000	49.069565	2.000000	158.000000	10	0
join	3.000000	0.500000	2.000000	4.000000	9	0
joinRel	3.333333	0.816497	3.000000	5.000000	6	0
joinFilter	3.642857	0.633324	3.000000	5.000000	14	0
joinRe	3.333333	0.651339	3.000000	5.000000	12	0
joinReif	179.909091	13.874109	171.000000	221.000000	11	0
