Name	AvgTime	STD	MinTime	MaxTime	Execs	Timeouts
cnt	0.456140	0.639972	0.000000	4.000000	114	0
cntType	4.214286	5.157685	0.000000	14.000000	126	0
cntRel	0.487603	0.579018	0.000000	3.000000	121	0
cntRelType	7.233645	6.242852	0.000000	18.000000	107	0
sel	1.057377	0.266572	1.000000	3.000000	122	0
join	1.059829	0.302022	1.000000	3.000000	117	0
joinRel	1.475410	0.980918	1.000000	10.000000	122	0
joinFilter	10.522124	1.408503	0.000000	17.000000	113	0
joinRe	11.405405	0.975876	10.000000	14.000000	111	0
joinReif	2.133333	0.401490	1.000000	4.000000	135	0
varPathC	2.039370	1.217606	1.000000	12.000000	127	0
varPath	1.609091	0.591925	1.000000	4.000000	110	0
2union	2.100917	1.254215	1.000000	13.000000	109	0
2union1Nest	19.338710	1.081155	18.000000	24.000000	124	0
2union1Nest+	17.719008	1.324281	16.000000	26.000000	121	0
pway	34.664179	1.232053	33.000000	40.000000	134	0
grp	12.237288	16.713615	10.000000	192.000000	118	0
grpAg	10.885246	0.919906	10.000000	14.000000	122	0
mulGrpAg	51.971223	1.769068	49.000000	60.000000	139	0
nestAg	10.875969	1.346336	10.000000	19.000000	129	0
exist	5.543103	0.677492	5.000000	8.000000	116	0
existAg	12.342105	0.762262	11.000000	15.000000	114	0
shrtSmf	2.781513	0.506896	2.000000	5.000000	119	0
medSmf	2.355769	1.525946	2.000000	15.000000	104	0
lngSmf	35.230159	1.153518	34.000000	43.000000	126	0
