Name	AvgTime	STD	MinTime	MaxTime	Execs	Timeouts
cnt	222.186441	9.055337	214.000000	266.000000	118	0
cntType	5.758929	22.796098	1.000000	149.000000	112	0
cntRel	10.354167	0.521814	10.000000	13.000000	144	0
cntRelType	23.625954	32.308450	1.000000	90.000000	131	0
sel	8.298507	24.870198	6.000000	294.000000	134	0
join	5.946903	0.564433	5.000000	9.000000	113	0
joinRel	6.992701	0.549014	6.000000	11.000000	137	0
joinFilter	5.091667	0.429888	4.000000	7.000000	120	0
joinRe	7.282828	10.115698	5.000000	94.000000	99	0
joinReif	10.516129	36.441619	7.000000	413.000000	124	0
varPathC	7.482456	2.005446	5.000000	19.000000	114	0
varPath	358.949580	4.539560	351.000000	403.000000	119	0
2union	12.520325	0.852668	12.000000	20.000000	123	0
2union1Nest	12.800000	0.729560	12.000000	16.000000	125	0
2union1Nest+	13.256000	5.507918	12.000000	73.000000	125	0
pway	61.653543	5.079336	60.000000	118.000000	127	0
grp	6.859813	0.621146	6.000000	10.000000	107	0
grpAg	8.350877	0.579631	8.000000	12.000000	114	0
mulGrpAg	50.550000	2.579330	50.000000	78.000000	120	0
nestAg	8.559633	0.599864	8.000000	12.000000	109	0
exist	13.675000	0.936312	13.000000	22.000000	120	0
existAg	34.317460	2.634087	33.000000	63.000000	126	0
shrtSmf	2.184211	0.645828	2.000000	8.000000	114	0
medSmf	13.805825	7.953367	11.000000	84.000000	103	0
lngSmf	35.516393	20.997534	31.000000	263.000000	122	0
