Name	AvgTime	STD	MinTime	MaxTime	Execs	Timeouts
cnt	3810.218487	337.869801	3590.000000	4647.000000	119	0
cntType	4071.390244	371.788580	3837.000000	4920.000000	123	0
cntRel	16365.141509	428.153142	15602.000000	17680.000000	106	0
cntRelType	0.447154	0.831779	0.000000	5.000000	123	0
sel	5.076923	1.635563	4.000000	17.000000	117	0
join	3434.038095	539.097285	3107.000000	4801.000000	105	0
joinRel	3.301587	2.766282	2.000000	32.000000	126	0
joinFilter	1.236842	1.929293	0.000000	21.000000	114	0
joinRe	3936.866142	730.631792	2852.000000	5412.000000	127	0
joinReif	10.686131	66.168096	3.000000	779.000000	137	0
varPathC	149.846667	113.454466	52.000000	597.000000	150	0
varPath	105.458716	22.643179	81.000000	201.000000	109	0
2union	41.732673	5.491614	36.000000	78.000000	101	0
2union1Nest	42.906250	10.530374	37.000000	152.000000	128	0
2union1Nest+	42.097561	4.023323	37.000000	55.000000	123	0
pway	3493.885714	471.912849	3186.000000	4583.000000	105	0
grp	3828.282258	544.085248	3535.000000	5239.000000	124	0
grpAg	82.925620	114.874146	64.000000	1331.000000	121	0
mulGrpAg	116.704545	17.005495	103.000000	179.000000	132	0
nestAg	22.932836	4.684317	19.000000	57.000000	134	0
exist	29.902655	6.196146	25.000000	54.000000	113	0
existAg	87.549180	15.381701	76.000000	128.000000	122	0
shrtSmf	16.482759	5.357616	14.000000	67.000000	116	0
medSmf	2691.661290	449.027185	2450.000000	3988.000000	124	0
lngSmf	INF	-	-	-	-	101
