Name	AvgTime	STD	MinTime	MaxTime	Execs	Timeouts
cnt	0.295082	1.080928	0.000000	11.000000	122	0
cntType	6.947826	4.213270	0.000000	20.000000	115	0
cntRel	0.225000	1.305853	0.000000	14.000000	120	0
cntRelType	7.774648	4.683447	0.000000	18.000000	142	0
sel	1.383333	2.146654	1.000000	24.000000	120	0
join	1.452381	4.738957	0.000000	54.000000	126	0
joinRel	1.639706	3.054257	1.000000	36.000000	136	0
joinFilter	10.500000	4.322578	0.000000	47.000000	112	0
joinRe	11.058824	2.611234	10.000000	38.000000	119	0
joinReif	3.268293	7.159853	2.000000	73.000000	123	0
varPathC	2.798450	5.287633	1.000000	39.000000	129	0
varPath	3.803419	11.332924	2.000000	125.000000	117	0
2union	3.127119	10.226116	2.000000	113.000000	118	0
2union1Nest	29.434783	12.845322	24.000000	162.000000	115	0
2union1Nest+	28.291262	34.118488	21.000000	370.000000	103	0
pway	67.892473	14.867138	57.000000	187.000000	93	0
grp	18.345794	4.629892	16.000000	63.000000	107	0
grpAg	18.300752	4.339713	16.000000	65.000000	133	0
mulGrpAg	87.000000	17.525625	77.000000	255.000000	123	0
nestAg	18.272727	5.665686	16.000000	78.000000	121	0
exist	8.025000	14.766225	6.000000	168.000000	120	0
existAg	22.327869	26.320166	18.000000	310.000000	122	0
shrtSmf	3.038095	8.605593	1.000000	90.000000	105	0
medSmf	3.962963	11.053741	2.000000	130.000000	135	0
lngSmf	20.548387	104.261269	10.000000	1172.000000	124	0
