Name	AvgTime	STD	MinTime	MaxTime	Execs	Timeouts
cnt	8943.053097	58.197300	8807.000000	9354.000000	113	0
cntType	71.201681	602.310419	1.000000	6551.000000	119	0
cntRel	77.172131	1.231089	76.000000	83.000000	122	0
cntRelType	44.257732	132.162170	1.000000	1265.000000	97	0
sel	3.818841	0.543515	3.000000	6.000000	138	0
join	7.147287	0.469387	6.000000	9.000000	129	0
joinRel	12.707143	0.605686	11.000000	15.000000	140	0
joinFilter	5.159292	0.434379	3.000000	6.000000	113	0
joinRe	6.821138	0.713253	5.000000	10.000000	123	0
joinReif	13.308271	0.653434	12.000000	17.000000	133	0
varPathC	9.858333	3.358911	5.000000	16.000000	120	0
varPath	4.214876	0.432177	4.000000	6.000000	121	0
2union	14.250000	0.455200	13.000000	15.000000	112	0
2union1Nest	14.676471	1.127977	14.000000	24.000000	136	0
2union1Nest+	16.053097	16.236995	14.000000	187.000000	113	0
pway	49.883929	0.581169	49.000000	51.000000	112	0
grp	346.773109	0.969335	346.000000	353.000000	119	0
grpAg	13.067961	12.024699	8.000000	48.000000	103	0
mulGrpAg	376.944444	0.721283	376.000000	380.000000	108	0
nestAg	348.768595	0.680200	348.000000	351.000000	121	0
exist	141.253623	0.616815	140.000000	144.000000	138	0
existAg	379.893204	0.999143	378.000000	386.000000	103	0
shrtSmf	229.125984	1.657078	226.000000	240.000000	127	0
medSmf	3148.770992	3.001448	3142.000000	3158.000000	131	0
lngSmf	17004.155963	29.184018	16980.000000	17274.000000	109	0
