protWord
0e23,
1,
1,1
1,2
1,2-alpha-L-fucosidase
1,2-alpha-mannosidase
1,2-dihydroxy-3-keto-5-methylthiopentene
1,2-dioxygenase
1,2-glucosyltransferase
1,2-rhamnoside
1,3-alpha-glucosidase
1,3-beta-glucan
1,3-beta-glucanosyltransferase
1,3-beta-glucosidase
1,3-dihydroxylase
1,4-alpha-galacturonidase
1,4-alpha-glucan
1,4-alpha-glucan-branching
1,4-dihydroxy-2-naphthoyl-CoA
1,6-bisphosphatase
1,7-bisphosphatase
1,8-cineole
1-1,
1-2,
1-3,
1-carboxyvinyltransferase,
1-dehydrogenase,
1-like,
1.1,
1.2,
1/4,
10,
10A,
10B,
11,
11beta-,
12,
120,
13,
132,
14,
15,
151,
159,
15A,
15B,
16,
16-1,
16-2,
16-3,
16-4,
16-methoxy-2,3-dihydro-3-hydroxytabersonine
160,
17,
173,
18,
19,
1A,
1B,
1B-20,
1B-21,
1C,
1D,
1a,
1b,
1c,
1d,
1e20,
2',3'-cyclic-nucleotide
2,
2,1-aminomutase
2,1-aminomutase,
2,3-bisphosphoglycerate-independent
2,3-dioxygenase
2,4,6-trihydroxybenzophenone
2,4-cyclodiphosphate
2,5-diamino-6-ribosylamino-4\\(3H\\)-pyrimidinone
2-1,
2-2,
2-3,
2-carboxy-1,4-naphthoquinone
2-methoxy-6-polyprenyl-1,4-benzoquinol
2-methyl-6-phytyl-1,4-hydroquinone
2-phytyl-1,4-naphthoquinone
2.1,
2.2,
2.3,
2.4,
20,
20-I,
20-II,
20-IV,
20-v,
20.1,
20.2,
20.3,
20.4,
20.5,
20.6,
21,
215,
21A,
21B,
22,
22-like,
22L,
22R,
23,
24,
244,
24A,
24B,
25,
26,
27,
2A,
2B,
2C,
3',4',5'-O-trimethyltransferase
3',5'-cyclic-nucleotide
3',5'-hydroxylase
3',5'-methyltransferase
3'\\(2'\\),5'-bisphosphate
3,
3,4,5-trisphosphate
3,4-dihydroxy-2-butanone
3,4-dihydroxylase
3,4-dioxygenase
3,5,7-trioxododecanoyl-CoA
3,5-dihydroxybiphenyl
3,5-epimerase
3,7-dimethylxanthine
3,9-dihydroxypterocarpan
3-1,
3-2,
3-beta-hydroxysteroid-Delta\\(8\\),Delta\\(7\\)-isomerase
3-epimerase,
3-hydroxy-16-methoxy-2,3-dihydrotabersonine
3-hydroxylase,
3-kinase,
3-oxo-Delta\\(4,5\\)-steroid
3.1,
3.2,
3.3,
3.4,
32,
34,
35,
36,
37,
38,
39,
3A,
3A/3C,
3B,
3C,
3a,
3c,
4'-kinase,
4,
4,4-dimethyl-9beta,19-cyclopropylsterol-4alpha-methyl
4,5-DOPA
4,5-bisphosphate
4,5-bisphosphate-binding
4,6-dehydratase
4-alpha-glucanotransferase,
4-desaturase,
4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl
4-prenyltransferase,
4.1,
40,
41,
44,
45,
46,
47,
48,
4A,
4L,
5',5'''-P1,P4-tetraphosphate
5,
5,3-O-glucosyltransferase
5,7-dihydroxy-2-methylchromone
50,
52,
53,
54,
55,
56,
58,
5A,
5B,
6,
6,7-dimethyl-8-ribityllumazine
6-dimethylallyltransferase,
6-prenyltransferase,
62,
64,
6A,
6\\(G\\)-fructosyltransferase/2,1-fructan:2,1-fructan
6a,
7,
7,8-desaturase
7,8\\(7',8'\\)-cleavage
8,
8-like,
8-vinyl-reductase,
80,
8A,
8B,
9,
9,10\\(9',10'\\)-cleavage
9-beta-pimara-7,15-diene
9-desaturase,
90,
90-5,
90-6,
91R,
97B1,
97B2,
A,
A1,
A4,
A6,
A7A,
A7B,
A8,
AAED1,
AAF,
AB10,
AB80,
ABCI12,
ABCI7,
ABCI8,
ADP,ATP
AEE15,
AN1,
AN2,
ANK6-like,
APG3,
ARASP,
ARASP2,
ASD,
ATL1,
ATL2,
ATP11,
ATP12,
ATP4,
ATPase,
ATS11,
ATS12,
Alpha,alpha-trehalose-phosphate
Alpha-1,2
Alpha-1,2-mannosyltransferase
Alpha-1,3-arabinosyltransferase
Alpha-1,3-mannosyl-glycoprotein
Alpha-1,3-mannosyltransferase
Alpha-1,4
Alpha-1,6-mannosyl-glycoprotein
Alpha-\\(1,4\\)-fucosyltransferase
Amidophosphoribosyltransferase,
Aminomethyltransferase,
Amorpha-4,11-diene
At1g02060,
At1g02370,
At1g03100,
At1g03560,
At1g05670,
At1g05750,
At1g06140,
At1g06710,
At1g07590,
At1g07740,
At1g08070,
At1g09220,
At1g09410,
At1g10910,
At1g11290,
At1g11630,
At1g11710,
At1g12300,
At1g12700,
At1g12775,
At1g13040,
At1g15480,
At1g15510,
At1g20300,
At1g22800,
At1g22960,
At1g26090,
At1g26460,
At1g26900,
At1g28150,
At1g28690,
At1g29710,
At1g30610,
At1g32220,
At1g32415,
At1g43920,
At1g43980,
At1g51965,
At1g52590,
At1g52640,
At1g53600,
At1g54570,
At1g54780,
At1g55890,
At1g55930,
At1g56690,
At1g59720,
At1g60990,
At1g61870,
At1g62260,
At1g62670,
At1g62680,
At1g62914,
At1g62930,
At1g63070,
At1g63080,
At1g63130,
At1g64583,
At1g65010,
At1g66345,
At1g68980,
At1g69350,
At1g71060,
At1g71210,
At1g71460,
At1g73400,
At1g74600,
At1g74850,
At1g74900,
At1g77010,
At1g77170,
At1g77360,
At1g78140,
At1g79080,
At1g79490,
At1g80150,
At1g80270,
At1g80550,
At1g80880,
At2g01510,
At2g02980,
At2g03380,
At2g03880,
At2g13420,
At2g15630,
At2g15690,
At2g15820,
At2g17525,
At2g18520,
At2g18940,
At2g20710,
At2g22410,
At2g24020,
At2g26790,
At2g27800,
At2g29760,
At2g30100,
At2g31400,
At2g34370,
At2g34460,
At2g35030,
At2g36980,
At2g37660,
At2g38420,
At2g39230,
At2g39790,
At2g39795,
At2g40240,
At2g41040,
At2g42920,
At2g45350,
At2g45870,
At2g46050,
At3g02060,
At3g02330,
At3g02490,
At3g02650,
At3g02690,
At3g02930,
At3g04130,
At3g04750,
At3g04760,
At3g06430,
At3g07290,
At3g09040,
At3g09650,
At3g10130,
At3g11460,
At3g13070,
At3g13160,
At3g13770,
At3g14580,
At3g15590,
At3g16710,
At3g16890,
At3g17800,
At3g18110,
At3g22150,
At3g22470,
At3g22670,
At3g24000,
At3g25060,
At3g25210,
At3g25440,
At3g26630,
At3g26782,
At3g26840,
At3g28570,
At3g46790,
At3g48250,
At3g49170,
At3g49240,
At3g49725,
At3g52155,
At3g53360,
At3g53700,
At3g54980,
At3g56030,
At3g57430,
At3g60930,
At3g60960,
At3g60980,
At3g61320,
At3g61520,
At3g62470,
At3g62540,
At3g63370,
At4g01030,
At4g01400,
At4g01990,
At4g02820,
At4g04790,
At4g08330,
At4g12130,
At4g13200,
At4g14050,
At4g14190,
At4g14450,
At4g16390,
At4g16835,
At4g18520,
At4g18975,
At4g19191,
At4g19220,
At4g19440,
At4g21705,
At4g21880,
At4g25270,
At4g26680,
At4g27595,
At4g30620,
At4g30825,
At4g31070,
At4g31850,
At4g32430,
At4g32450,
At4g35130,
At4g35850,
At4g35985,
At4g36680,
At4g39620,
At4g39952,
At5g02830,
At5g03900,
At5g04780,
At5g04810,
At5g06400,
At5g08310,
At5g09450,
At5g11310,
At5g12100,
At5g13230,
At5g13270,
At5g13770,
At5g14770,
At5g14820,
At5g15010,
At5g15280,
At5g15340,
At5g15980,
At5g16420,
At5g16640,
At5g16730,
At5g18390,
At5g19020,
At5g39980,
At5g40410,
At5g41170,
At5g42310,
